Method,N,LPIPS_NO_ICP,SSIM_NO_ICP,PSNR_NO_ICP,LPIPS,SSIM,PSNR
Any6D (InstantMesh),142,0.2663,0.8415,14.9278,0.2557,0.8383,15.0022
Any6D (Trellis),142,0.3025,0.8345,14.0406,0.2914,0.8227,13.8099
SAM3D,142,0.2464,0.8304,15.9699,0.1691,0.8556,18.0712
RecGen (1-view),142,0.2211,0.8512,17.3831,0.1879,0.8621,18.1817
RecGen (2-view),142,0.2198,0.8501,17.3357,0.1811,0.8630,18.3051
