Method,N,chamfer_normalized,ADDSS,ADDSS_10,ADDSS_05,DRE_005
SceneComplete,142,0.1858,0.2220,50.0,11.3,0.0
Any6D (InstantMesh),142,0.1001,0.1478,42.2,11.3,19.0
Any6D (Trellis),142,0.1158,0.1955,29.6,16.9,15.5
SAM3D,142,0.0565,0.1098,64.1,17.6,34.5
RecGen (1-view),142,0.0502,0.0676,83.1,50.0,38.0
RecGen (2-view),142,0.0556,0.0750,83.1,55.6,37.3
