Method,N,chamfer_normalized,ADDSS,ADDSS_10,ADDSS_05,DRE_005
SceneComplete,538,0.2335,0.2579,65.2,35.1,0.0
Any6D (InstantMesh),538,0.0739,0.1113,68.6,36.4,33.6
Any6D (Trellis),538,0.1060,0.1574,47.8,33.8,26.8
SAM3D,538,0.0331,0.0618,92.4,54.6,34.6
RecGen (1-view),538,0.0321,0.0488,95.0,73.8,51.5
RecGen (2-view),538,0.0289,0.0475,95.4,74.2,50.9
