Method,N,LPIPS_NO_ICP,SSIM_NO_ICP,PSNR_NO_ICP,LPIPS,SSIM,PSNR
Any6D (InstantMesh),538,0.1964,0.8478,16.0577,0.2109,0.8340,15.4896
Any6D (Trellis),538,0.2491,0.8440,14.7534,0.2503,0.8331,14.5777
SAM3D,538,0.2014,0.8328,15.6709,0.1540,0.8527,17.3354
RecGen (1-view),538,0.1759,0.8343,15.3934,0.1594,0.8401,16.0093
RecGen (2-view),538,0.1760,0.8337,15.3266,0.1563,0.8408,16.0539
