Method,N,chamfer_normalized,ADDSS,ADDSS_10,ADDSS_05,DRE_005
SceneComplete,314,0.7645,0.7739,38.2,26.1,0.0
Any6D (InstantMesh),314,0.0546,0.0659,89.5,60.8,60.5
Any6D (Trellis),314,0.0678,0.0880,75.5,47.4,47.1
SAM3D,314,0.0261,0.0566,96.2,43.6,25.8
RecGen (1-view),314,0.0190,0.0323,100.0,89.5,60.8
RecGen (2-view),314,0.0180,0.0319,99.7,91.1,62.4
