Method,N,LPIPS_NO_ICP,SSIM_NO_ICP,PSNR_NO_ICP,LPIPS,SSIM,PSNR
Any6D (InstantMesh),506,0.2124,0.8142,15.4061,0.2237,0.8014,15.1007
Any6D (Trellis),506,0.2362,0.8092,14.8754,0.2293,0.8047,15.0438
SAM3D,506,0.2079,0.7984,15.5042,0.1607,0.8137,16.8641
RecGen (1-view),506,0.2009,0.7881,14.7594,0.1636,0.8006,15.4177
RecGen (2-view),506,0.2012,0.7883,14.7954,0.1606,0.8017,15.4883
